21:44.6,4095
21:44.6,249
21:44.6,66.00%
21:44.6,30.60 *C
21:44.6, 87.08 *F
21:44.6,95.85 *F
21:54.6,4095
21:54.6,240
21:54.6,66.00%
21:54.6,30.50 *C
21:54.6, 86.90 *F
21:54.6,95.43 *F
22:04.6,4095
22:04.6,245
22:04.6,66.00%
22:04.6,30.60 *C
22:04.6, 87.08 *F
22:04.6,95.85 *F
22:14.6,4095
22:14.6,247
22:14.7,66.00%
22:14.7,30.80 *C
22:14.7, 87.44 *F
22:14.7,96.71 *F
22:24.7,4095
22:24.7,272
22:24.7,66.00%
22:24.7,30.80 *C
22:24.7, 87.44 *F
22:24.7,96.71 *F
22:34.7,4095
22:34.7,274
22:34.7,66.00%
22:34.7,30.80 *C
22:34.7, 87.44 *F
22:34.7,96.71 *F
22:44.7,4095
22:44.7,272
22:44.7,66.00%
22:44.7,30.80 *C
22:44.7, 87.44 *F
22:44.7,96.71 *F
22:54.7,4095
22:54.7,252
22:54.8,66.00%
22:54.8,30.80 *C
22:54.8, 87.44 *F
22:54.8,96.71 *F
23:04.8,4095
23:04.8,249
23:04.8,66.00%
23:04.8,30.80 *C
23:04.8, 87.44 *F
23:04.8,96.71 *F
23:14.8,4095
23:14.8,271
23:14.8,66.00%
23:14.8,30.80 *C
23:14.8, 87.44 *F
23:14.8,96.71 *F
23:24.8,4095
23:24.8,257
23:24.8,66.00%
23:24.8,30.80 *C
23:24.8, 87.44 *F
23:24.8,96.71 *F
23:34.8,4095
23:34.8,259
23:34.9,66.00%
23:34.9,30.80 *C
23:34.9, 87.44 *F
23:34.9,96.71 *F
23:44.8,4095
23:44.9,253
23:44.9,66.00%
23:44.9,30.80 *C
23:44.9, 87.44 *F
23:44.9,96.71 *F
23:54.9,4095
23:54.9,247
23:54.9,66.00%
23:54.9,30.80 *C
23:54.9, 87.44 *F
23:54.9,96.71 *F
24:04.9,4095
24:04.9,251
24:04.9,66.00%
24:04.9,30.80 *C
24:04.9, 87.44 *F
24:04.9,96.71 *F
24:14.9,4095
24:14.9,261
24:15.0,66.00%
24:15.0,30.80 *C
